# Cleaned OpenScale data
timestamp_s,raw_force_n,despiked_force_n,filtered_force_n,is_outlier
5.007063,18.681668,18.681668,18.711224,0
5.023036,18.495342,18.495342,18.711140,0
5.055083,18.240369,18.240369,18.711101,0
5.071110,18.671862,18.671862,18.711093,0
5.103142,20.113439,20.113439,19.779801,0
5.135787,20.319379,20.319379,20.042710,0
5.151051,20.123246,20.123246,20.209868,0
5.183216,20.358605,20.358605,20.323330,0
5.199117,20.613578,20.613578,20.501518,0
5.231643,21.133331,21.133331,20.984760,0
5.247217,21.594243,21.594243,21.320090,0
5.279747,21.535403,21.535403,21.529782,0
5.295238,21.702116,21.702116,21.634510,0
5.327308,22.349355,22.349355,22.179437,0
5.359223,23.280987,23.280987,23.018181,0
5.375267,23.928226,23.928226,23.578800,0
5.407298,24.722565,24.722565,24.450441,0
5.423254,25.536517,25.536517,25.118087,0
5.455320,26.311242,26.311242,26.027603,0
5.471353,-45.404789,26.311242,26.202288,1
5.503388,28.125472,28.125472,27.667953,0
5.519353,28.870778,28.870778,28.407529,0
5.551412,29.518016,29.518016,29.253986,0
5.583456,30.557521,30.557521,30.247481,0
5.599524,30.724234,30.724234,30.541346,0
5.631513,31.322440,31.322440,31.136417,0
5.647531,31.724513,31.724513,31.269054,0
5.679528,31.351860,31.351860,31.354558,0
5.696499,31.381280,31.381280,31.587345,0
5.727572,31.950066,31.950066,31.705955,0
5.759609,31.744126,31.744126,31.891995,0
5.775620,32.479625,32.479625,31.927740,0
5.807661,32.852277,32.852277,31.944755,0
5.823610,32.146199,32.146199,31.948019,0
5.855721,32.126585,32.126585,31.949580,0
5.871662,32.822858,32.822858,31.949878,0
5.903752,32.597305,32.597305,31.950021,0
5.935749,32.008906,32.008906,31.950055,0
5.952615,32.803244,32.803244,31.950062,0
5.983773,33.126864,33.126864,31.950065,0
5.999814,31.950066,31.950066,31.823209,0
6.031821,30.881141,30.881141,31.105405,0
6.049989,30.027962,30.027962,30.410468,0
6.079856,28.556965,28.556965,29.021887,0
6.097904,26.791768,26.791768,27.586876,0
6.127922,24.212619,24.212619,25.055804,0
6.159946,21.525597,21.525597,22.365642,0
6.175910,18.112883,18.112883,19.750827,0
6.208723,14.033316,14.033316,15.368778,0
6.223894,8.698499,8.698499,11.348484,0
6.256365,6.717555,6.717555,7.807930,0
6.271951,5.432884,5.432884,6.361144,0
6.304210,4.638545,4.638545,5.046174,0
6.335947,3.775560,3.775560,4.079994,0
6.354298,2.873348,2.873348,3.298958,0
6.384130,1.657324,1.657324,2.069463,0
6.400088,1.108151,1.108151,1.478485,0
6.432076,0.578592,0.578592,0.792914,0
6.448127,0.215746,0.215746,0.437299,0
6.480110,0.000000,0.000000,0.186340,0
6.496143,-0.058840,-0.058840,0.138014,0
6.528167,-0.088260,-0.088260,0.115046,0
6.560736,-0.205940,-0.205940,0.109558,0
6.576218,-0.000000,-0.000000,0.108534,0
6.611841,-0.019613,-0.019613,0.108018,0
6.624260,-0.049033,-0.049033,0.107938,0
6.656328,-0.039227,-0.039227,0.107889,0
6.672293,0.107873,0.107873,0.107879,0
6.704298,0.029420,0.029420,0.107875,0
6.736345,0.009807,0.009807,0.107873,0
6.752343,0.137293,0.137293,0.125977,0
6.784375,6.031090,6.031090,4.626181,0
6.800363,7.286341,7.286341,5.605120,0
6.832412,7.305954,7.305954,6.086750,0
6.848410,6.217416,6.217416,6.324055,0
6.880452,6.237029,6.237029,6.885551,0
6.912822,6.472389,6.472389,7.019429,0
6.929022,7.060788,7.060788,7.045002,0
6.960520,7.609960,7.609960,7.056984,0
6.978043,7.835513,7.835513,7.059406,0
7.008484,8.443526,8.443526,7.060446,0
7.025543,9.169218,9.169218,7.060662,0
7.056571,9.953750,9.953750,7.060757,0
7.073415,10.306789,10.306789,6.943861,0
7.104583,9.787037,9.787037,6.586913,0
7.136657,8.139519,8.139519,6.499609,0
7.152613,6.874462,6.874462,6.482876,0
7.184653,5.285784,5.285784,5.570535,0
7.200604,3.432327,3.432327,4.256268,0
7.233967,1.833844,1.833844,2.392482,0
7.248707,0.402073,0.402073,1.206604,0
7.281957,0.029420,0.029420,0.588091,0
7.312803,0.009807,0.009807,0.255064,0
7.329389,0.029420,0.029420,0.187709,0
7.360817,0.039227,0.039227,0.156902,0
7.377785,0.019613,0.019613,0.150735,0
7.408799,0.029420,0.029420,0.147986,0
7.425292,0.019613,0.019613,0.147434,0
7.456929,0.029420,0.029420,0.147180,0
7.472933,0.068647,0.068647,0.147131,0
7.504951,0.402073,0.402073,0.147107,0
7.536963,8.404299,0.147100,0.147102,1
7.552915,8.237586,0.147100,0.147100,1
7.586471,6.541036,0.147100,0.147100,1
7.600934,4.020726,0.147100,0.147100,1
7.634267,2.432049,0.147100,0.147100,1
7.649035,2.245723,0.147100,0.147100,1
7.681192,1.755390,0.147100,0.147100,1
7.713147,1.068925,0.147100,0.147100,1
7.729169,0.500139,0.500139,0.147100,0
7.761112,0.147100,0.147100,0.147100,0
7.777184,-0.029420,-0.029420,0.128964,0
7.809177,0.019613,0.019613,0.083010,0
7.825166,0.068647,0.068647,0.044007,0
7.857127,0.117680,0.117680,0.025427,0
7.873171,0.009807,0.009807,0.021845,0
7.905223,0.019613,0.019613,0.020144,0
7.938871,-0.000000,-0.000000,0.019735,0
7.953248,0.019613,0.019613,0.019663,0
7.988354,2.657602,0.019613,0.019624,1
8.001277,10.336209,0.019613,0.019618,1
8.033340,6.560649,0.019613,0.019614,1
8.049330,2.353596,0.019613,0.019614,1
8.081370,0.549172,0.019613,0.019613,1
8.113389,0.029420,0.029420,0.019613,0
8.129426,0.000000,0.000000,0.019613,0
8.161446,-0.009807,-0.009807,0.019613,0
8.177470,-0.029420,-0.029420,0.019613,0
8.209482,0.009807,0.009807,0.019613,0
8.225464,-0.000000,-0.000000,0.019613,0
8.257509,-0.000000,-0.000000,0.019613,0
8.289524,0.029420,0.029420,0.019613,0
8.305680,0.029420,0.029420,0.019613,0
8.337580,-0.000000,-0.000000,0.027079,0
8.355067,0.382459,0.029420,0.028568,1
8.385570,11.993533,0.029420,0.029210,1
8.402593,7.188274,0.029420,0.029342,1
8.433607,2.461469,0.029420,0.029401,1
8.450184,0.323619,0.029420,0.029413,1
8.481628,0.068647,0.068647,0.029418,0
8.513681,0.019613,0.019613,0.029420,0
8.529730,0.009807,0.009807,0.029420,0
8.561699,0.029420,0.029420,0.029420,0
8.577650,0.039227,0.039227,0.029420,0
8.610169,0.029420,0.029420,0.029420,0
8.625715,0.019613,0.019613,0.029420,0
8.658925,0.058840,0.058840,0.029420,0
8.689808,0.107873,0.107873,0.029420,0
8.706663,11.591460,0.029420,0.029420,1
8.737860,10.012590,0.029420,0.029420,1
8.755966,5.687857,0.029420,0.029420,1
8.785894,0.715885,0.029420,0.029420,1
8.805838,-0.000000,-0.000000,0.029420,0
8.833939,0.029420,0.029420,0.029420,0
8.865938,-0.009807,-0.009807,0.029420,0
8.881984,-0.000000,-0.000000,0.029420,0
8.914018,-0.009807,-0.009807,0.029420,0
8.929984,-0.029420,-0.029420,0.029420,0
8.962513,-0.009807,-0.009807,0.029420,0
8.978001,0.039227,0.039227,0.035379,0
9.010766,8.835792,8.835792,6.109236,0
9.026088,10.944221,10.944221,7.266527,0
9.061421,9.836070,9.836070,8.489628,0
9.090101,7.963000,7.963000,9.487972,0
9.106137,8.021840,8.021840,9.774852,0
9.138194,9.953750,9.953750,10.666178,0
9.154176,11.689527,11.689527,11.295658,0
9.186254,12.660385,12.660385,12.336053,0
9.202214,13.082071,13.082071,12.794699,0
9.234247,13.327237,13.327237,13.200542,0
9.266967,13.464530,13.464530,13.402735,0
9.282232,14.347129,14.347129,13.973334,0
9.316000,15.190501,15.190501,14.912406,0
9.330258,15.465087,15.465087,15.237252,0
9.362965,15.867160,15.867160,15.719665,0
9.378317,16.553625,16.553625,16.224673,0
9.410345,16.945891,16.945891,16.482829,0
9.442265,16.563432,16.563432,16.835428,0
9.458362,17.602937,17.602937,17.308838,0
9.490404,19.142581,19.142581,18.706412,0
9.506353,19.358327,19.358327,19.107098,0
9.538421,19.476007,19.476007,19.388313,0
9.554467,20.211506,20.211506,19.895452,0
9.586485,20.525318,20.525318,20.375415,0
9.602488,20.672418,20.672418,20.558199,0
9.634535,21.417724,21.417724,21.213304,0
9.666547,22.055156,22.055156,21.854772,0
9.682552,22.221869,22.221869,22.080705,0
9.714595,22.859301,22.859301,22.674111,0
9.730640,23.437894,23.437894,23.144638,0
9.762602,23.712480,23.712480,23.487522,0
9.779447,23.594800,23.594800,23.628681,0
9.810662,25.124637,25.124637,24.761673,0
9.842692,25.546323,25.546323,25.165327,0
9.858705,25.291350,25.291350,25.285161,0
9.890722,25.359997,25.359997,25.484167,0
9.906778,25.869943,25.869943,25.721886,0
9.940067,26.487762,26.487762,26.310840,0
9.954739,26.693701,26.693701,26.538521,0
9.986805,27.085967,27.085967,26.955827,0
10.002793,27.360553,27.360553,27.204818,0
10.036402,27.635140,27.635140,27.536462,0
10.066849,28.351025,28.351025,28.149635,0
10.083389,29.625890,29.625890,28.935197,0
10.114910,29.929896,29.929896,29.370204,0
10.133922,29.508210,29.508210,29.460641,0
10.163019,30.067189,30.067189,29.496043,0
10.181234,30.479068,30.479068,29.503898,0
10.210928,29.410143,29.410143,29.507123,0
10.242904,30.135835,30.135835,29.507951,0
10.258929,31.891226,31.891226,29.508110,0
10.291495,32.028519,32.028519,29.508186,0
10.306953,31.400893,31.400893,29.508201,0
10.341390,32.410978,32.410978,29.508208,0
10.355026,31.597026,31.597026,29.491236,0
10.389653,29.478790,29.478790,29.428315,0
10.419078,28.351025,28.351025,28.624275,0
10.435217,27.429200,27.429200,27.886400,0
10.467085,25.261930,25.261930,25.888774,0
10.483152,21.417724,21.417724,23.132938,0
10.515179,17.730423,17.730423,19.015910,0
10.531183,14.709975,14.709975,16.365849,0
10.563213,9.620324,9.620324,11.225255,0
10.579226,6.276256,6.276256,8.178766,0
10.611206,3.922660,3.922660,4.936501,0
10.644275,2.314369,2.314369,2.923191,0
10.659252,1.147378,1.147378,1.858357,0
10.694175,0.147100,0.147100,0.528031,0
10.707294,0.068647,0.068647,0.272916,0
10.739341,0.009807,0.009807,0.117228,0
10.755359,0.039227,0.039227,0.075244,0
10.787384,0.078453,0.078453,0.055270,0
10.819582,0.009807,0.009807,0.050511,0
10.835404,0.039227,0.039227,0.043597,0
10.869157,0.009807,0.009807,0.040225,0
10.883407,0.029420,0.029420,0.039638,0
10.915505,0.039227,0.039227,0.039324,0
10.931447,0.049033,0.049033,0.039264,0
10.963481,0.039227,0.039227,0.039236,0
10.979580,0.019613,0.019613,0.039230,0
11.011585,-0.000000,-0.000000,0.039227,0
11.043574,0.088260,0.088260,0.039227,0
11.059583,0.049033,0.049033,0.039227,0
11.091662,0.029420,0.029420,0.046703,0
11.107615,0.009807,0.009807,0.048135,0
11.139666,0.019613,0.019613,0.078718,0
11.155671,3.079288,3.079288,1.466740,0
11.187672,2.853735,2.853735,2.217163,0
11.219712,2.755669,2.755669,2.418304,0
11.235726,2.451662,2.451662,2.625983,0
11.267758,2.333983,2.333983,2.799550,0
11.284640,2.481082,2.481082,2.975227,0
11.315780,3.226388,3.226388,3.165337,0
11.332361,4.069760,4.069760,3.729508,0
11.363805,5.197525,5.197525,4.843308,0
11.379924,6.256643,6.256643,5.715529,0
11.411866,7.041175,7.041175,6.725108,0
11.443842,7.825707,7.825707,7.563510,0
11.459809,8.992698,8.992698,8.442312,0
11.491977,10.032203,10.032203,9.655166,0
11.507978,11.012868,11.012868,10.490695,0
11.540033,12.238699,12.238699,11.172746,0
11.555985,14.445195,14.445195,11.303533,0
11.589407,15.327794,15.327794,11.366639,0
11.620026,16.151553,16.151553,11.380872,0
11.636477,17.269511,17.269511,11.383763,0
11.668061,18.044236,18.044236,11.385098,0
11.686200,18.259982,18.259982,11.385370,0
11.716055,17.730423,17.730423,11.385483,0
11.732041,16.553625,16.553625,11.385506,0
11.764097,14.474615,14.474615,11.385517,0
11.780057,11.385521,11.385521,11.385519,0
11.812122,7.874740,7.874740,8.709348,0
11.845335,2.363403,2.363403,3.831930,0
11.860143,0.323619,0.323619,1.737804,0
11.892495,0.009807,0.009807,0.432797,0
11.908195,-0.000000,-0.000000,0.186376,0
11.940903,0.029420,0.029420,0.066171,0
11.956240,0.009807,0.009807,0.043925,0
11.988983,-0.009807,-0.009807,0.032813,0
12.020288,0.029420,0.029420,0.022809,0
12.036383,0.019613,0.019613,0.020838,0
12.068396,0.029420,0.029420,0.019905,0
12.084366,0.000000,0.000000,0.019726,0
12.116408,-0.000000,-0.000000,0.012166,0
12.132412,0.019613,0.019613,0.010714,0
12.164434,0.009807,0.009807,0.010023,0
12.196653,0.009807,0.009807,0.017342,0
12.212498,0.068647,0.068647,0.018734,0
12.244952,0.029420,0.029420,0.019406,0
12.260478,0.009807,0.009807,0.019532,0
12.292535,-0.029420,0.019613,0.019594,1
12.308549,-0.000000,-0.000000,0.019606,0
12.340548,0.029420,0.029420,0.019612,0
12.357232,0.009807,0.009807,0.019613,0
12.388585,0.029420,0.029420,0.019613,0
12.420636,-0.039227,-0.039227,0.019613,0
12.436620,0.068647,0.068647,0.019613,0
12.468676,0.088260,0.088260,0.027088,0
12.484710,0.019613,0.019613,0.028524,0
12.516685,0.068647,0.068647,0.029207,0
12.532666,0.098067,0.098067,0.029338,0
12.564782,-0.009807,-0.009807,0.029400,0
12.596766,0.049033,0.049033,0.029415,0
12.612784,0.029420,0.029420,0.029418,0
12.644817,-0.049033,-0.049033,0.044367,0
12.661484,-0.039227,-0.039227,0.047283,0
12.692835,-0.000000,-0.000000,0.048610,0
12.709556,0.049033,0.049033,0.036602,0
