timestamp,pitch_deg,roll_deg,Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m)
2025-09-09 15:17:12.976530,-23.56921527453294,-2.6684199852734425,2.9835376584852074,-12.03230355065145,-28.67705721124876,1.4434231210399333,-0.22108694202191123,0.15293200230813211
2025-09-09 15:17:12.997258,-23.407150919674734,-2.6122063872952754,2.8908020879729484,-12.0542323945671,-28.65680989028551,1.4326672763799502,-0.20111551110169804,0.17819538020362466
2025-09-09 15:17:13.017986,-23.252570283458123,-2.9165710195493415,2.88881897926331,-12.0545139312744,-28.6569766998291,1.43245553970337,-0.200945317745209,0.178549587726593
2025-09-09 15:17:13.038714,-23.689837557470636,-3.047005060182196,2.88881897926331,-12.0545139312744,-28.6569766998291,1.43245553970337,-0.200945317745209,0.178549587726593
2025-09-09 15:17:13.059442,-23.284461902490573,-2.9712713378113405,2.9204736615528044,-11.985186853873396,-28.64399574561257,1.4001475202319609,-0.2043582723125866,0.17821101354721067
2025-09-09 15:17:13.080170,-23.111078055638597,-2.8430274998892835,3.0321985088408794,-12.053215580411601,-29.00457558521671,1.3639174752366798,-0.22924520349101576,0.16088444266377347
2025-09-09 15:17:13.100898,-23.473679786991312,-2.6194033781507264,2.898539473566425,-12.789607437046373,-29.40327694780848,1.4313752472161534,-0.3008072051158261,0.1389680579014353
2025-09-09 15:17:13.121626,-23.568658354232358,-2.0207137901246868,2.65160775184631,-12.5976524353027,-28.3398857116699,1.47728252410889,-0.38914942741394,0.121903464198112
2025-09-09 15:17:13.142354,-23.424267737467705,-2.216299777831122,2.65160775184631,-12.5976524353027,-28.3398857116699,1.47728252410889,-0.38914942741394,0.121903464198112
2025-09-09 15:17:13.163082,-23.470487747353356,-2.141737292733677,2.65160775184631,-12.5976524353027,-28.3398857116699,1.47728252410889,-0.38914942741394,0.121903464198112
2025-09-09 15:17:13.183810,-24.767554319247274,-2.4493945475370116,2.6683140562678287,-12.862285118015398,-28.20696086898142,1.55247331160583,-0.40873822078559285,0.1162442548611793
2025-09-09 15:17:13.204538,-25.66170355494945,-2.85740114044614,2.7661012034229233,-13.572234458832172,-28.163077050240002,1.7693503504419938,-0.45717666574472043,0.0987630499206719
2025-09-09 15:17:13.225266,-25.85467735973988,-2.375395193348145,2.7973029765645503,-13.457434906593733,-28.89837201608252,1.8915718549326803,-0.49675859818926393,0.08258297250482213
2025-09-09 15:17:13.245994,-24.122190976292504,-2.6926523982333403,2.5293545678315565,-12.383240492456046,-29.319375176160875,1.8646169944569437,-0.5458559707131666,0.07602055251307188
2025-09-09 15:17:13.266722,-23.72650634792636,-3.004627650038288,2.492152972973296,-12.48831024412781,-29.25179795163385,1.8911389852714333,-0.541941796472327,0.07552782934337827
2025-09-09 15:17:13.287450,-23.64236983266848,-2.662612670675075,2.6724799265475694,-12.772640442678135,-29.106277897165285,1.8012800829105038,-0.4820697912879898,0.07623952115559811
2025-09-09 15:17:13.308178,-22.180844199729265,-2.5181482186839528,2.71459674835205,-12.1494932174683,-29.0349216461182,1.63539516925812,-0.455950766801834,0.0780175924301147
2025-09-09 15:17:13.328906,-22.439134622338912,-2.5639385328277964,2.71459674835205,-12.1494932174683,-29.0349216461182,1.63539516925812,-0.455950766801834,0.0780175924301147
2025-09-09 15:17:13.349634,-22.077424733284154,-3.1064024499597274,2.7492534860753794,-11.656432004249258,-29.009269762158297,1.3553105759792,-0.43090302437897743,0.09254244285399088
2025-09-09 15:17:13.370362,-20.96445149859126,-2.926806082624626,2.7445293050856514,-10.825783738964892,-29.32337605677658,0.9264607481635261,-0.4066251909342539,0.11389990135463562
2025-09-09 15:17:13.391090,-21.15389716462832,-2.7119306199137663,2.638439967135809,-10.852196802590939,-29.26905218150948,1.0361490209638085,-0.43065836599194934,0.11285460447288792
2025-09-09 15:17:13.411818,-22.563832802840395,-2.5239037513129947,2.7962613019998996,-11.52220536626894,-29.115974455528324,1.365067112799057,-0.4319117901916475,0.10421572825331851
2025-09-09 15:17:13.432546,-22.260544468186804,-2.3886840344272118,2.8736265994877277,-11.46216293674561,-29.503868760674617,1.5222429278897252,-0.4385583347560023,0.09576391401299121
2025-09-09 15:17:13.453274,-21.580262014397455,-2.807553331838985,2.6306595597280307,-11.346773597398103,-30.05028125614215,1.5821555594993884,-0.4883918474420755,0.0848274083565189
2025-09-09 15:17:13.474002,-21.587145456773232,-2.702739665742858,2.52959775924683,-11.3606824874878,-30.2262954711914,1.59627830982208,-0.507721066474915,0.0812242329120636
2025-09-09 15:17:13.494730,-21.739555975508264,-2.777025048582887,2.52959775924683,-11.3606824874878,-30.2262954711914,1.59627830982208,-0.507721066474915,0.0812242329120636
2025-09-09 15:17:13.515458,-20.62021407781964,-2.7798019995208305,2.52361269108421,-10.957921405320516,-30.100875269681662,1.5246820006439712,-0.5221118628724399,0.0742125917574373
2025-09-09 15:17:13.536186,-20.11091682803527,-2.9933097599167655,2.5471714657805165,-11.117758660347649,-29.43898851496323,1.4361765578150776,-0.5197251053218055,0.06318573349212851
