# OpenScale raw session
# started_at_utc,2026-06-09T09:52:05.837219+00:00
# started_at_unix,1780998725.837219
# port,/dev/ttyUSB0
# baudrate,115200
timestamp_unix,timestamp_utc,elapsed_s,raw_text,value_kg,unit,is_numeric
1780998732.317329,2026-06-09T09:52:12.317329+00:00,6.480110,"0.000,kg,",0.000000,kg,1
1780998732.333362,2026-06-09T09:52:12.333362+00:00,6.496143,"-0.006,kg,",-0.006000,kg,1
1780998732.365386,2026-06-09T09:52:12.365386+00:00,6.528167,"-0.009,kg,",-0.009000,kg,1
1780998732.397954,2026-06-09T09:52:12.397954+00:00,6.560736,"-0.021,kg,",-0.021000,kg,1
1780998732.413437,2026-06-09T09:52:12.413437+00:00,6.576218,"-0.000,kg,",-0.000000,kg,1
1780998732.449060,2026-06-09T09:52:12.449060+00:00,6.611841,"-0.002,kg,",-0.002000,kg,1
1780998732.461478,2026-06-09T09:52:12.461478+00:00,6.624260,"-0.005,kg,",-0.005000,kg,1
1780998732.493547,2026-06-09T09:52:12.493547+00:00,6.656328,"-0.004,kg,",-0.004000,kg,1
1780998732.509512,2026-06-09T09:52:12.509512+00:00,6.672293,"0.011,kg,",0.011000,kg,1
1780998732.541517,2026-06-09T09:52:12.541517+00:00,6.704298,"0.003,kg,",0.003000,kg,1
1780998732.573564,2026-06-09T09:52:12.573564+00:00,6.736345,"0.001,kg,",0.001000,kg,1
1780998732.589562,2026-06-09T09:52:12.589562+00:00,6.752343,"0.014,kg,",0.014000,kg,1
1780998732.621594,2026-06-09T09:52:12.621594+00:00,6.784375,"0.615,kg,",0.615000,kg,1
1780998732.637581,2026-06-09T09:52:12.637581+00:00,6.800363,"0.743,kg,",0.743000,kg,1
1780998732.669631,2026-06-09T09:52:12.669631+00:00,6.832412,"0.745,kg,",0.745000,kg,1
1780998732.685629,2026-06-09T09:52:12.685629+00:00,6.848410,"0.634,kg,",0.634000,kg,1
1780998732.717670,2026-06-09T09:52:12.717670+00:00,6.880452,"0.636,kg,",0.636000,kg,1
1780998732.750041,2026-06-09T09:52:12.750041+00:00,6.912822,"0.660,kg,",0.660000,kg,1
1780998732.766241,2026-06-09T09:52:12.766241+00:00,6.929022,"0.720,kg,",0.720000,kg,1
1780998732.797738,2026-06-09T09:52:12.797738+00:00,6.960520,"0.776,kg,",0.776000,kg,1
1780998732.815262,2026-06-09T09:52:12.815262+00:00,6.978043,"0.799,kg,",0.799000,kg,1
1780998732.845702,2026-06-09T09:52:12.845702+00:00,7.008484,"0.861,kg,",0.861000,kg,1
1780998732.862762,2026-06-09T09:52:12.862762+00:00,7.025543,"0.935,kg,",0.935000,kg,1
1780998732.893790,2026-06-09T09:52:12.893790+00:00,7.056571,"1.015,kg,",1.015000,kg,1
1780998732.910634,2026-06-09T09:52:12.910634+00:00,7.073415,"1.051,kg,",1.051000,kg,1
1780998732.941802,2026-06-09T09:52:12.941802+00:00,7.104583,"0.998,kg,",0.998000,kg,1
1780998732.973876,2026-06-09T09:52:12.973876+00:00,7.136657,"0.830,kg,",0.830000,kg,1
1780998732.989832,2026-06-09T09:52:12.989832+00:00,7.152613,"0.701,kg,",0.701000,kg,1
1780998733.021872,2026-06-09T09:52:13.021872+00:00,7.184653,"0.539,kg,",0.539000,kg,1
1780998733.037823,2026-06-09T09:52:13.037823+00:00,7.200604,"0.350,kg,",0.350000,kg,1
1780998733.071186,2026-06-09T09:52:13.071186+00:00,7.233967,"0.187,kg,",0.187000,kg,1
1780998733.085926,2026-06-09T09:52:13.085926+00:00,7.248707,"0.041,kg,",0.041000,kg,1
1780998733.119176,2026-06-09T09:52:13.119176+00:00,7.281957,"0.003,kg,",0.003000,kg,1
1780998733.150022,2026-06-09T09:52:13.150022+00:00,7.312803,"0.001,kg,",0.001000,kg,1
1780998733.166607,2026-06-09T09:52:13.166607+00:00,7.329389,"0.003,kg,",0.003000,kg,1
1780998733.198036,2026-06-09T09:52:13.198036+00:00,7.360817,"0.004,kg,",0.004000,kg,1
1780998733.215004,2026-06-09T09:52:13.215004+00:00,7.377785,"0.002,kg,",0.002000,kg,1
1780998733.246018,2026-06-09T09:52:13.246018+00:00,7.408799,"0.003,kg,",0.003000,kg,1
1780998733.262511,2026-06-09T09:52:13.262511+00:00,7.425292,"0.002,kg,",0.002000,kg,1
1780998733.294148,2026-06-09T09:52:13.294148+00:00,7.456929,"0.003,kg,",0.003000,kg,1
1780998733.310152,2026-06-09T09:52:13.310152+00:00,7.472933,"0.007,kg,",0.007000,kg,1
1780998733.342170,2026-06-09T09:52:13.342170+00:00,7.504951,"0.041,kg,",0.041000,kg,1
1780998733.374181,2026-06-09T09:52:13.374181+00:00,7.536963,"0.857,kg,",0.857000,kg,1
1780998733.390134,2026-06-09T09:52:13.390134+00:00,7.552915,"0.840,kg,",0.840000,kg,1
1780998733.423690,2026-06-09T09:52:13.423690+00:00,7.586471,"0.667,kg,",0.667000,kg,1
1780998733.438153,2026-06-09T09:52:13.438153+00:00,7.600934,"0.410,kg,",0.410000,kg,1
1780998733.471486,2026-06-09T09:52:13.471486+00:00,7.634267,"0.248,kg,",0.248000,kg,1
1780998733.486254,2026-06-09T09:52:13.486254+00:00,7.649035,"0.229,kg,",0.229000,kg,1
1780998733.518410,2026-06-09T09:52:13.518410+00:00,7.681192,"0.179,kg,",0.179000,kg,1
1780998733.550366,2026-06-09T09:52:13.550366+00:00,7.713147,"0.109,kg,",0.109000,kg,1
1780998733.566388,2026-06-09T09:52:13.566388+00:00,7.729169,"0.051,kg,",0.051000,kg,1
1780998733.598331,2026-06-09T09:52:13.598331+00:00,7.761112,"0.015,kg,",0.015000,kg,1
1780998733.614402,2026-06-09T09:52:13.614402+00:00,7.777184,"-0.003,kg,",-0.003000,kg,1
1780998733.646395,2026-06-09T09:52:13.646395+00:00,7.809177,"0.002,kg,",0.002000,kg,1
1780998733.662385,2026-06-09T09:52:13.662385+00:00,7.825166,"0.007,kg,",0.007000,kg,1
1780998733.694346,2026-06-09T09:52:13.694346+00:00,7.857127,"0.012,kg,",0.012000,kg,1
1780998733.710390,2026-06-09T09:52:13.710390+00:00,7.873171,"0.001,kg,",0.001000,kg,1
1780998733.742441,2026-06-09T09:52:13.742441+00:00,7.905223,"0.002,kg,",0.002000,kg,1
1780998733.776090,2026-06-09T09:52:13.776090+00:00,7.938871,"-0.000,kg,",-0.000000,kg,1
1780998733.790467,2026-06-09T09:52:13.790467+00:00,7.953248,"0.002,kg,",0.002000,kg,1
1780998733.825572,2026-06-09T09:52:13.825572+00:00,7.988354,"0.271,kg,",0.271000,kg,1
1780998733.838496,2026-06-09T09:52:13.838496+00:00,8.001277,"1.054,kg,",1.054000,kg,1
1780998733.870558,2026-06-09T09:52:13.870558+00:00,8.033340,"0.669,kg,",0.669000,kg,1
1780998733.886549,2026-06-09T09:52:13.886549+00:00,8.049330,"0.240,kg,",0.240000,kg,1
1780998733.918589,2026-06-09T09:52:13.918589+00:00,8.081370,"0.056,kg,",0.056000,kg,1
1780998733.950608,2026-06-09T09:52:13.950608+00:00,8.113389,"0.003,kg,",0.003000,kg,1
1780998733.966645,2026-06-09T09:52:13.966645+00:00,8.129426,"0.000,kg,",0.000000,kg,1
1780998733.998665,2026-06-09T09:52:13.998665+00:00,8.161446,"-0.001,kg,",-0.001000,kg,1
1780998734.014689,2026-06-09T09:52:14.014689+00:00,8.177470,"-0.003,kg,",-0.003000,kg,1
1780998734.046700,2026-06-09T09:52:14.046700+00:00,8.209482,"0.001,kg,",0.001000,kg,1
1780998734.062683,2026-06-09T09:52:14.062683+00:00,8.225464,"-0.000,kg,",-0.000000,kg,1
1780998734.094728,2026-06-09T09:52:14.094728+00:00,8.257509,"-0.000,kg,",-0.000000,kg,1
1780998734.126743,2026-06-09T09:52:14.126743+00:00,8.289524,"0.003,kg,",0.003000,kg,1
1780998734.142899,2026-06-09T09:52:14.142899+00:00,8.305680,"0.003,kg,",0.003000,kg,1
1780998734.174799,2026-06-09T09:52:14.174799+00:00,8.337580,"-0.000,kg,",-0.000000,kg,1
1780998734.192285,2026-06-09T09:52:14.192285+00:00,8.355067,"0.039,kg,",0.039000,kg,1
1780998734.222789,2026-06-09T09:52:14.222789+00:00,8.385570,"1.223,kg,",1.223000,kg,1
1780998734.239812,2026-06-09T09:52:14.239812+00:00,8.402593,"0.733,kg,",0.733000,kg,1
1780998734.270826,2026-06-09T09:52:14.270826+00:00,8.433607,"0.251,kg,",0.251000,kg,1
1780998734.287402,2026-06-09T09:52:14.287402+00:00,8.450184,"0.033,kg,",0.033000,kg,1
1780998734.318846,2026-06-09T09:52:14.318846+00:00,8.481628,"0.007,kg,",0.007000,kg,1
1780998734.350900,2026-06-09T09:52:14.350900+00:00,8.513681,"0.002,kg,",0.002000,kg,1
